PC,abs_r_diag,signed_r,varpct_A,varpct_B,best_match_B_PC,best_abs_r
1,0.9999362434437076,0.9999362434437076,12.739471096351087,12.262733870911038,1,0.9999362434437076
2,0.9998271828852885,0.9998271828852885,8.962503603652111,8.621444152459611,2,0.9998271828852885
3,0.9997911220479135,0.9997911220479135,7.570392265085163,7.278891681088598,3,0.9997911220479135
4,0.9998196172334155,0.9998196172334155,5.366134569302368,5.158381358146156,4,0.9998196172334155
5,0.9997893723657644,0.9997893723657644,4.732961056268013,4.556432359455762,5,0.9997893723657644
6,0.9994363072023156,0.9994363072023156,3.71109916279126,3.570208294372784,6,0.9994363072023156
7,0.9993295955240168,0.9993295955240168,3.388878444908268,3.268759671383671,7,0.9993295955240168
8,0.9889420671300451,0.9889420671300451,2.7236687720010857,2.629512941981685,8,0.9889420671300451
9,0.9832218381569664,0.9832218381569664,2.685155887159784,2.5823166868765957,9,0.9832218381569664
10,0.993671748365324,0.993671748365324,2.627955956403304,2.5413609684534877,10,0.993671748365324
11,0.9990819681683629,0.9990819681683629,2.237883653334615,2.165577274783601,11,0.9990819681683629
12,0.9990482251200894,0.9990482251200894,1.9921889516378795,1.9230681711925917,12,0.9990482251200894
13,0.9989438146361482,0.9989438146361482,1.9238649811461075,1.8554534264743472,13,0.9989438146361482
14,0.9990034764478073,0.9990034764478073,1.7195375854950437,1.6633890217270841,14,0.9990034764478073
15,0.9979214431114763,0.9979214431114763,1.581325326716206,1.522744612189478,15,0.9979214431114763
16,0.9965164644150779,0.9965164644150779,1.5030674742129695,1.442282569947146,16,0.9965164644150779
17,0.9973421419348382,0.9973421419348382,1.470198865645221,1.42615169405171,17,0.9973421419348382
18,0.998799508875099,0.998799508875099,1.285473570033468,1.2375784763014128,18,0.998799508875099
19,0.9898337103381274,-0.9898337103381274,1.17713901726332,1.1445324211184134,19,0.9898337103381274
20,0.9881059098074696,0.9881059098074696,1.146129441392761,1.1132926337164848,20,0.9881059098074696
